x ksi mu sig ypdf ycdf
0.5 0 -0.5 0.5 0.236409903186286 0.873423018493117
1 0 -0.5 0.5 0.0947380193558158 0.951431992900453
1.5 0 -0.5 0.5 0.0359664593934273 0.981851073061667
2 0 -0.5 0.5 0.013385399355071 0.993284702067841
2.5 0 -0.5 0.5 0.00494523114602982 0.997524317392752
3 0 -0.5 0.5 0.00182210163169644 0.999088533672458
3.5 0 -0.5 0.5 0.000670700223202709 0.999664593633393
4 0 -0.5 0.5 0.000246789150093321 0.99987659781059
-4 0 -0.5 1 1.37458827543355e-13 4.15089692010905e-15
-3.5 0 -0.5 1 3.80054250404436e-08 1.89217869483829e-09
-3 0 -0.5 1 6.23657718766199e-05 5.11929429867073e-06
-2.5 0 -0.5 1 0.00456628142012792 0.000617978989331093
-2 0 -0.5 1 0.0507071136099807 0.0113142863804596
-1.5 0 -0.5 1 0.179374078734017 0.0659880358453125
-1 0 -0.5 1 0.317041921077942 0.192295645547965
-0.5 0 -0.5 1 0.367879441171442 0.367879441171442
0 0 -0.5 1 0.330704298890418 0.545239211892605
0.5 0 -0.5 1 0.254646380043582 0.692200627555346
1 0 -0.5 1 0.178506518513121 0.800010713004354
1.5 0 -0.5 1 0.118204951593143 0.873423018493117
2 0 -0.5 1 0.0756161799174265 0.921193655175516
2.5 0 -0.5 1 0.0473690096779079 0.951431992900453
3 0 -0.5 1 0.0292991321332815 0.970254002591062
3.5 0 -0.5 1 0.0179832296967136 0.981851073061667
4 0 -0.5 1 0.0109862696824028 0.988952480503795
-4 0 0 0.5 0 0
-3.5 0 0 0.5 0 0
-3 0 0 0.5 5.01069574040119e-173 6.21013648656614e-176
-2.5 0 0 0.5 1.04108542169913e-62 3.50738919646464e-65
-2 0 0 0.5 2.12096079940856e-22 1.94233760495641e-24
-1.5 0 0 0.5 7.60108500808873e-08 1.89217869483829e-09
-1 0 0 0.5 0.00913256284025583 0.000617978989331093
-0.5 0 0 0.5 0.358748157468034 0.0659880358453125
0 0 0 0.5 0.735758882342885 0.367879441171442
0.5 0 0 0.5 0.509292760087165 0.692200627555346
1 0 0 0.5 0.236409903186286 0.873423018493117
1.5 0 0 0.5 0.0947380193558158 0.951431992900453
2 0 0 0.5 0.0359664593934273 0.981851073061667
2.5 0 0 0.5 0.013385399355071 0.993284702067841
3 0 0 0.5 0.00494523114602982 0.997524317392752
3.5 0 0 0.5 0.00182210163169644 0.999088533672458
4 0 0 0.5 0.000670700223202709 0.999664593633393
-4 0 0 1 1.06048039970428e-22 1.94233760495641e-24
-3.5 0 0 1 1.37458827543355e-13 4.15089692010905e-15
-3 0 0 1 3.80054250404436e-08 1.89217869483829e-09
-2.5 0 0 1 6.23657718766199e-05 5.11929429867073e-06
-2 0 0 1 0.00456628142012792 0.000617978989331093
-1.5 0 0 1 0.0507071136099807 0.0113142863804596
-1 0 0 1 0.179374078734017 0.0659880358453125
-0.5 0 0 1 0.317041921077942 0.192295645547965
0 0 0 1 0.367879441171442 0.367879441171442
0.5 0 0 1 0.330704298890418 0.545239211892605
1 0 0 1 0.254646380043582 0.692200627555346
1.5 0 0 1 0.178506518513121 0.800010713004354
2 0 0 1 0.118204951593143 0.873423018493117
2.5 0 0 1 0.0756161799174265 0.921193655175516
3 0 0 1 0.0473690096779079 0.951431992900453
3.5 0 0 1 0.0292991321332815 0.970254002591062
4 0 0 1 0.0179832296967136 0.981851073061667
-4 0 0.5 0.5 0 0
-3.5 0 0.5 0.5 0 0
-3 0 0.5 0.5 0 0
-2.5 0 0.5 0.5 5.01069574040119e-173 6.21013648656614e-176
-2 0 0.5 0.5 1.04108542169913e-62 3.50738919646464e-65
-1.5 0 0.5 0.5 2.12096079940856e-22 1.94233760495641e-24
-1 0 0.5 0.5 7.60108500808873e-08 1.89217869483829e-09
-0.5 0 0.5 0.5 0.00913256284025583 0.000617978989331093
0 0 0.5 0.5 0.358748157468034 0.0659880358453125
0.5 0 0.5 0.5 0.735758882342885 0.367879441171442
1 0 0.5 0.5 0.509292760087165 0.692200627555346
1.5 0 0.5 0.5 0.236409903186286 0.873423018493117
2 0 0.5 0.5 0.0947380193558158 0.951431992900453
2.5 0 0.5 0.5 0.0359664593934273 0.981851073061667
3 0 0.5 0.5 0.013385399355071 0.993284702067841
3.5 0 0.5 0.5 0.00494523114602982 0.997524317392752
4 0 0.5 0.5 0.00182210163169644 0.999088533672458
-4 0 0.5 1 7.25073057860126e-38 8.0548340897409e-40
-3.5 0 0.5 1 1.06048039970428e-22 1.94233760495641e-24
-3 0 0.5 1 1.37458827543355e-13 4.15089692010905e-15
-2.5 0 0.5 1 3.80054250404436e-08 1.89217869483829e-09
-2 0 0.5 1 6.23657718766199e-05 5.11929429867073e-06
-1.5 0 0.5 1 0.00456628142012792 0.000617978989331093
-1 0 0.5 1 0.0507071136099807 0.0113142863804596
-0.5 0 0.5 1 0.179374078734017 0.0659880358453125
0 0 0.5 1 0.317041921077942 0.192295645547965
0.5 0 0.5 1 0.367879441171442 0.367879441171442
1 0 0.5 1 0.330704298890418 0.545239211892605
1.5 0 0.5 1 0.254646380043582 0.692200627555346
2 0 0.5 1 0.178506518513121 0.800010713004354
2.5 0 0.5 1 0.118204951593143 0.873423018493117
3 0 0.5 1 0.0756161799174265 0.921193655175516
3.5 0 0.5 1 0.0473690096779079 0.951431992900453
4 0 0.5 1 0.0292991321332815 0.970254002591062
-4 0.5 -0.5 0.5 0 0
-3.5 0.5 -0.5 0.5 0 0
-3 0.5 -0.5 0.5 0 0
-2.5 0.5 -0.5 0.5 0 0
-2 0.5 -0.5 0.5 0 0
-1.5 0.5 -0.5 0.5 0 0
-1 0.5 -0.5 0.5 0.293050222219747 0.0183156388887342
-0.5 0.5 -0.5 0.5 0.735758882342885 0.367879441171442
0 0.5 -0.5 0.5 0.379958748699232 0.641180388429955
0.5 0.5 -0.5 0.5 0.194700195767851 0.778800783071405
1 0.5 -0.5 0.5 0.109074404987675 0.852143788966211
1.5 0.5 -0.5 0.5 0.0662843938381015 0.89483931681437
2 0.5 -0.5 0.5 0.04299057480106 0.921610447297725
2.5 0.5 -0.5 0.5 0.0293566582129211 0.939413062813476
3 0.5 -0.5 0.5 0.0208903546649786 0.951816784423089
3.5 0.5 -0.5 0.5 0.0153726310264372 0.960789439152323
4 0.5 -0.5 0.5 0.0116301438064969 0.967482587902963
-4 0.5 -0.5 1 0 0
-3.5 0.5 -0.5 1 0 0
-3 0.5 -0.5 1 0 0
-2.5 0.5 -0.5 1 0 0
-2 0.5 -0.5 1 7.20225118203259e-06 1.12535174719259e-07
-1.5 0.5 -0.5 1 0.146525111109873 0.0183156388887342
-1 0.5 -0.5 1 0.400624155036601 0.169013315406066
-0.5 0.5 -0.5 1 0.367879441171442 0.367879441171442
0 0.5 -0.5 1 0.269973721110041 0.527292424043049
0.5 0.5 -0.5 1 0.189979374349616 0.641180388429955
1 0.5 -0.5 1 0.13460940694666 0.721422290354756
1.5 0.5 -0.5 1 0.0973500978839256 0.778800783071405
2 0.5 -0.5 1 0.0720552918121936 0.820754808298268
2.5 0.5 -0.5 1 0.0545372024938375 0.852143788966211
3 0.5 -0.5 1 0.0421283596160036 0.876138228889075
3.5 0.5 -0.5 1 0.0331421969190507 0.89483931681437
4 0.5 -0.5 1 0.0264992315310707 0.909668932402536
-4 0.5 0 0.5 0 0
-3.5 0.5 0 0.5 0 0
-3 0.5 0 0.5 0 0
-2.5 0.5 0 0.5 0 0
-2 0.5 0 0.5 0 0
-1.5 0.5 0 0.5 0 0
-1 0.5 0 0.5 0 0
-0.5 0.5 0 0.5 0.293050222219747 0.0183156388887342
0 0.5 0 0.5 0.735758882342885 0.367879441171442
0.5 0.5 0 0.5 0.379958748699232 0.641180388429955
1 0.5 0 0.5 0.194700195767851 0.778800783071405
1.5 0.5 0 0.5 0.109074404987675 0.852143788966211
2 0.5 0 0.5 0.0662843938381015 0.89483931681437
2.5 0.5 0 0.5 0.04299057480106 0.921610447297725
3 0.5 0 0.5 0.0293566582129211 0.939413062813476
3.5 0.5 0 0.5 0.0208903546649786 0.951816784423089
4 0.5 0 0.5 0.0153726310264372 0.960789439152323
-4 0.5 0 1 0 0
-3.5 0.5 0 1 0 0
-3 0.5 0 1 0 0
