x n z ypdf ycdf
0.25 0.5 1 0.269362457557087 0.0296276493666574
0.5 0.5 1 0.391569816025209 0.116405868261998
0.75 0.5 1 0.390050919958956 0.215441347245306
1 0.5 1 0.3520653267643 0.308537538725987
1.25 0.5 1 0.30715375347698 0.390945167383459
1.5 0.5 1 0.264775742972154 0.462342133410526
1.75 0.5 1 0.227562274900022 0.523769178110117
2 0.5 1 0.195784908012604 0.576578148239245
2.25 0.5 1 0.168940693936602 0.622073163500329
2.5 0.5 1 0.146331855780068 0.661401363163834
2.75 0.5 1 0.127274743909652 0.695534826353484
3 0.5 1 0.111167283015234 0.725284270276039
0 1 0.25 0 0
0.25 1 0.25 1.04870989008785e-19 6.79373979955605e-22
0.5 1 0.25 3.49864215711348e-10 6.32490898750125e-12
0.75 1 0.25 3.68970865858203e-06 1.29738437649915e-07
1 1 0.25 0.000535320903059541 3.16712418331199e-05
1.25 1 0.25 0.0102156414444636 0.000943621791840118
1.5 1 0.25 0.0629205045691068 0.00870011928979628
1.75 1 0.25 0.193250888489884 0.039073790982167
2 1 0.25 0.375663841130233 0.1098340248681
2.25 1 0.25 0.532829681161895 0.22474092756208
2.5 1 0.25 0.603509898642491 0.368873996655332
2.75 1 0.25 0.579655259123555 0.518505735005762
3 1 0.25 0.49211072915005 0.653375270437936
0 1 0.5 0 0
0.25 1 0.5 3.61331963982621e-05 9.09364730874628e-07
0.5 1 0.5 0.00516350884349193 0.000354216744666189
0.75 1 0.5 0.0386055388369465 0.00500673010533327
1 1 0.5 0.107981933026376 0.0227501319481792
1.25 1 0.5 0.190911217720882 0.0601264576196979
1.5 1 0.5 0.262317431988743 0.117206103768475
1.75 1 0.5 0.309349476565862 0.189221586742651
2 1 0.5 0.330464565983484 0.26970493073491
2.25 1 0.5 0.330147308364215 0.352663458031298
2.5 1 0.5 0.314712244350577 0.433520370594661
2.75 1 0.5 0.290061756093321 0.509255357914229
3 1 0.5 0.260838872701926 0.578174100802873
0 1 1 0 0
0.25 1 1 0.092564964593887 0.00850956125608893
0.5 1 1 0.190297804810106 0.0452137277902241
0.75 1 1 0.232162198388357 0.0989283283290916
1 1 1 0.241970724519143 0.158655253931457
1.25 1 1 0.236020867689781 0.218621734185903
1.5 1 1 0.222876045876283 0.276077206174196
1.75 1 1 0.206899223293204 0.329829428833277
2 1 1 0.190297804810106 0.379477701120085
2.25 1 1 0.1741666915412 0.425019061690486
2.5 1 1 0.159018793463368 0.466643794056493
2.75 1 1 0.145060158635938 0.504627990352803
3 1 1 0.132335751529021 0.539276943682299
