alp|phi           0           5          10          15          20          25          30
      0  0.00000000  0.08726646  0.17453293  0.26179939  0.34906585  0.43633231  0.52359878
      2  0.00000000  0.08726633  0.17453185  0.26179579  0.34905742  0.43631608  0.52357119
      4  0.00000000  0.08726592  0.17452864  0.26178503  0.34903218  0.43626745  0.52348856
      6  0.00000000  0.08726525  0.17452330  0.26176715  0.34899025  0.43618665  0.52335123
      8  0.00000000  0.08726432  0.17451587  0.26174224  0.34893181  0.43607403  0.52315981

     10  0.00000000  0.08726313  0.17450636  0.26171041  0.34885714  0.43593011  0.52291511
     12  0.00000000  0.08726168  0.17449485  0.26167182  0.34876657  0.43575552  0.52261821
     14  0.00000000  0.08725999  0.17448137  0.26162664  0.34866055  0.43555106  0.52227039
     16  0.00000000  0.08725806  0.17446599  0.26157510  0.34853954  0.43531765  0.52187317
     18  0.00000000  0.08725590  0.17444879  0.26151743  0.34840412  0.43505633  0.52142828

     20  0.00000000  0.08725352  0.17442985  0.26145391  0.34825492  0.43476831  0.52093770
     22  0.00000000  0.08725094  0.17440926  0.26138485  0.34809262  0.43445488  0.52040357
     24  0.00000000  0.08724816  0.17438712  0.26131056  0.34791800  0.43411749  0.51982827
     26  0.00000000  0.08724521  0.17436353  0.26123141  0.34773187  0.43375767  0.51921436
     28  0.00000000  0.08724208  0.17433862  0.26114778  0.34753510  0.43337709  0.51856461

     30  0.00000000  0.08723881  0.17431250  0.26106005  0.34732863  0.43297749  0.51788193
     32  0.00000000  0.08723540  0.17428529  0.26096867  0.34711342  0.43256075  0.51716944
     34  0.00000000  0.08723187  0.17425714  0.26087405  0.34689050  0.43212880  0.51643040
     36  0.00000000  0.08722824  0.17422817  0.26077666  0.34666093  0.43168368  0.51566820
     38  0.00000000  0.08722453  0.17419852  0.26067697  0.34642580  0.43122748  0.51488638

     40  0.00000000  0.08722075  0.17416835  0.26057545  0.34618625  0.43076236  0.51408862
     42  0.00000000  0.08721692  0.17413779  0.26047261  0.34594343  0.43029055  0.51327866
     44  0.00000000  0.08721307  0.17410700  0.26036893  0.34569850  0.42981431  0.51246037
     46  0.00000000  0.08720920  0.17407613  0.26026492  0.34545266  0.42933594  0.51163767
     48  0.00000000  0.08720535  0.17404531  0.26016109  0.34520710  0.42885776  0.51081454

     50  0.00000000  0.08720152  0.17401472  0.26005795  0.34496302  0.42838212  0.50999501
     52  0.00000000  0.08719774  0.17398449  0.25995600  0.34472162  0.42791134  0.50918310
     54  0.00000000  0.08719402  0.17395477  0.25985574  0.34448409  0.42744775  0.50838287
     56  0.00000000  0.08719039  0.17392571  0.25975765  0.34425159  0.42699368  0.50759831
     58  0.00000000  0.08718686  0.17389745  0.25966224  0.34402529  0.42655138  0.50683341

     60  0.00000000  0.08718345  0.17387013  0.25956996  0.34380631  0.42612308  0.50609207
     62  0.00000000  0.08718017  0.17384388  0.25948126  0.34359575  0.42571097  0.50537811
     64  0.00000000  0.08717704  0.17381883  0.25939660  0.34339465  0.42531712  0.50469523
     66  0.00000000  0.08717408  0.17379511  0.25931640  0.34320404  0.42494358  0.50404700
     68  0.00000000  0.08717130  0.17377283  0.25924103  0.34302487  0.42459224  0.50343686

     70  0.00000000  0.08716871  0.17375209  0.25917090  0.34285805  0.42426495  0.50286804
     72  0.00000000  0.08716633  0.17373302  0.25910634  0.34270443  0.42396339  0.50234359
     74  0.00000000  0.08716416  0.17371568  0.25904767  0.34256479  0.42368914  0.50186634
     76  0.00000000  0.08716223  0.17370018  0.25899519  0.34243984  0.42344363  0.50143886
     78  0.00000000  0.08716053  0.17368659  0.25894917  0.34233022  0.42322817  0.50106351

     80  0.00000000  0.08715909  0.17367498  0.25890983  0.34223650  0.42304389  0.50074232
     82  0.00000000  0.08715789  0.17366539  0.25887737  0.34215915  0.42289175  0.50047707
     84  0.00000000  0.08715695  0.17365789  0.25885195  0.34209857  0.42277258  0.50026922
     86  0.00000000  0.08715628  0.17365250  0.25883370  0.34205507  0.42268700  0.50011993
     88  0.00000000  0.08715588  0.17364926  0.25882271  0.34202889  0.42263547  0.50003003

     90  0.00000000  0.08715574  0.17364818  0.25881905  0.34202014  0.42261826  0.50000000

alp|phi           0           5          10          15          20          25          30
      5  0.00000000  0.08726562  0.17452623  0.26177698  0.34901329  0.43623105  0.52342670
     15  0.00000000  0.08725905  0.17447391  0.26160165  0.34860188  0.43543791  0.52207785
     25  0.00000000  0.08724671  0.17437550  0.26127157  0.34782632  0.43394028  0.51952597
     35  0.00000000  0.08723006  0.17424275  0.26082567  0.34677648  0.43190776  0.51605197
     45  0.00000000  0.08721113  0.17409157  0.26031693  0.34557562  0.42957525  0.51204932

     55  0.00000000  0.08719220  0.17394015  0.25980639  0.34436714  0.42721938  0.50798838
     65  0.00000000  0.08717554  0.17380680  0.25935592  0.34329797  0.42512769  0.50436656
     75  0.00000000  0.08716317  0.17370770  0.25902064  0.34250043  0.42356271  0.50164622
     85  0.00000000  0.08715658  0.17365493  0.25884192  0.34207467  0.42272556  0.50018720
