 istep         h         x            y0            y1            y2            y3
    67  0.139764  2.700748 -6.810455E-01  8.530837E-01  1.067570E-01  3.990928E-01
    68  0.147969  2.848718 -6.584689E-01  9.114873E-01  1.968827E-01  3.876958E-01
    69  0.156458  3.005176 -6.208963E-01  9.701301E-01  2.814046E-01  3.592448E-01
    70  0.164651  3.169827 -5.681852E-01  1.025685E+00  3.562850E-01  3.129820E-01
    71  0.172210  3.342037 -5.013396E-01  1.074317E+00  4.168199E-01  2.495241E-01
    72  0.177971  3.520008 -4.231571E-01  1.111940E+00  4.579870E-01  1.715287E-01
    73  0.180253  3.700261 -3.386372E-01  1.135075E+00  4.756517E-01  8.414610E-02
    74  0.178627  3.878889 -2.539680E-01  1.142067E+00  4.681398E-01 -6.057759E-03
    75  0.174552  4.053441 -1.746755E-01  1.133358E+00  4.363666E-01 -9.321080E-02
    76  0.169646  4.223087 -1.048904E-01  1.110675E+00  3.826513E-01 -1.731323E-01
    77  0.164094  4.387181 -4.778424E-02  1.076417E+00  3.100734E-01 -2.429927E-01
    78  0.158076  4.545257 -5.499788E-03  1.033262E+00  2.220586E-01 -3.014680E-01
    79  0.151342  4.696599  2.074325E-02  9.839595E-01  1.223283E-01 -3.486378E-01
    80  0.143691  4.840290  3.073837E-02  9.310997E-01  1.481085E-02 -3.860253E-01
    81  0.135014  4.975304  2.533258E-02  8.768909E-01 -9.642781E-02 -4.164645E-01
    82  0.126706  5.102010  6.085477E-03  8.223886E-01 -2.084728E-01 -4.440104E-01
    83  0.119553  5.221562 -2.541607E-02  7.676096E-01 -3.190944E-01 -4.733713E-01
    84  0.111950  5.333512 -6.702116E-02  7.127234E-01 -4.240692E-01 -5.089739E-01
    85  0.104627  5.438139 -1.164045E-01  6.572070E-01 -5.188810E-01 -5.547241E-01
    86  0.097568  5.535707 -1.709962E-01  6.003863E-01 -5.979894E-01 -6.128028E-01
    87  0.090952  5.626658 -2.281546E-01  5.415916E-01 -6.555082E-01 -6.826109E-01
    88  0.084634  5.711293 -2.851232E-01  4.806225E-01 -6.863569E-01 -7.597478E-01
    89  0.078326  5.789619 -3.391507E-01  4.181271E-01 -6.885299E-01 -8.361414E-01
    90  0.072213  5.861832 -3.881688E-01  3.552924E-01 -6.649496E-01 -9.027147E-01
    91  0.067194  5.929026 -4.315145E-01  2.928608E-01 -6.221949E-01 -9.530039E-01
    92  0.063640  5.992666 -4.694354E-01  2.311306E-01 -5.677951E-01 -9.838346E-01
    93  0.061731  6.054397 -5.026693E-01  1.699645E-01 -5.084185E-01 -9.945885E-01
    94  0.061419  6.115817 -5.320682E-01  1.090454E-01 -4.494132E-01 -9.860086E-01
    95  0.062640  6.178456 -5.584716E-01  4.802894E-02 -3.949506E-01 -9.594348E-01
    96  0.065290  6.243746 -5.826727E-01 -1.328205E-02 -3.483387E-01 -9.164718E-01
    97  0.069138  6.312884 -6.054274E-01 -7.471583E-02 -3.122081E-01 -8.590425E-01
    98  0.074116  6.386999 -6.275903E-01 -1.358360E-01 -2.882742E-01 -7.892685E-01
    99  0.079234  6.466233 -6.499063E-01 -1.952590E-01 -2.772607E-01 -7.102356E-01
   100  0.084269  6.550502 -6.732351E-01 -2.515171E-01 -2.782542E-01 -6.250084E-01
   101  0.089551  6.640053 -6.985806E-01 -3.034716E-01 -2.891203E-01 -5.356725E-01
   102  0.095353  6.735406 -7.269718E-01 -3.501215E-01 -3.071349E-01 -4.433402E-01
   103  0.101712  6.837118 -7.593282E-01 -3.903612E-01 -3.292866E-01 -3.485512E-01
   104  0.108512  6.945630 -7.963326E-01 -4.228867E-01 -3.523804E-01 -2.516419E-01
   105  0.115477  7.061107 -8.382720E-01 -4.462109E-01 -3.731094E-01 -1.530920E-01
   106  0.122246  7.183353 -8.848876E-01 -4.588025E-01 -3.882108E-01 -5.377052E-02
   107  0.128452  7.311805 -9.352815E-01 -4.593064E-01 -3.947229E-01  4.493086E-02
   108  0.133822  7.445627 -9.879378E-01 -4.467786E-01 -3.902850E-01  1.411123E-01
   109  0.142124  7.587750 -1.042314E+00 -4.199473E-01 -3.727228E-01  2.349452E-01
   110  0.149523  7.737273 -1.095800E+00 -3.780817E-01 -3.404131E-01  3.231243E-01
   111  0.156939  7.894212 -1.145643E+00 -3.209596E-01 -2.925322E-01  4.024263E-01
   112  0.163681  8.057892 -1.188532E+00 -2.494141E-01 -2.295324E-01  4.688683E-01
   113  0.169587  8.227479 -1.221125E+00 -1.654100E-01 -1.532742E-01  5.184168E-01
   114  0.173837  8.401316 -1.240387E+00 -7.244591E-02 -6.739125E-02  5.473603E-01
   115  0.175528  8.576844 -1.244318E+00  2.449361E-02  2.280359E-02  5.532369E-01
   116  0.174399  8.751243 -1.232578E+00  1.197813E-01  1.112530E-01  5.356539E-01
   117  0.175114  8.926356 -1.205707E+00  2.103562E-01  1.943017E-01  4.950716E-01
   118  0.174644  9.101000 -1.165244E+00  2.916974E-01  2.670658E-01  4.329785E-01
   119  0.172458  9.273458 -1.113945E+00  3.596714E-01  3.253226E-01  3.522803E-01
   120  0.168484  9.441943 -1.055444E+00  4.112061E-01  3.662984E-01  2.569270E-01
   121  0.162964  9.604907 -9.936605E-01  4.446294E-01  3.890820E-01  1.512210E-01
   122  0.156012  9.760919 -9.323195E-01  4.596198E-01  3.946265E-01  3.932873E-02
   123  0.147651  9.908570 -8.745545E-01  4.570803E-01  3.856080E-01 -7.502866E-02
   124  0.138809 10.047379 -8.222799E-01  4.387989E-01  3.659719E-01 -1.894782E-01
   125  0.132898 10.180277 -7.753266E-01  4.059893E-01  3.397271E-01 -3.053171E-01
   126  0.125757 10.306034 -7.343348E-01  3.603916E-01  3.121855E-01 -4.208348E-01
   127  0.118631 10.424665 -6.987252E-01  3.037354E-01  2.892025E-01 -5.351823E-01
   128  0.111283 10.535948 -6.673415E-01  2.380154E-01  2.769991E-01 -6.464470E-01
   129  0.104080 10.640028 -6.384552E-01  1.652559E-01  2.812860E-01 -7.514991E-01
   130  0.097073 10.737101 -6.101352E-01  8.769265E-02  3.060902E-01 -8.452343E-01
   131  0.090188 10.827289 -5.806348E-01  7.933978E-03  3.520147E-01 -9.208150E-01
   132  0.083014 10.910303 -5.489453E-01 -7.076425E-02  4.144634E-01 -9.713269E-01
   133  0.075784 10.986087 -5.149438E-01 -1.453774E-01  4.843119E-01 -9.933843E-01
   134  0.069870 11.055957 -4.787263E-01 -2.147670E-01  5.521969E-01 -9.886521E-01
   135  0.065685 11.121642 -4.404819E-01 -2.789348E-01  6.107353E-01 -9.616749E-01
   136  0.063396 11.185038 -4.002783E-01 -3.385925E-01  6.551178E-01 -9.178970E-01
   137  0.062807 11.247845 -3.581802E-01 -3.945543E-01  6.824039E-01 -8.626758E-01
   138  0.063827 11.311672 -3.142466E-01 -4.476577E-01  6.910154E-01 -8.008795E-01
   139  0.066363 11.378035 -2.686397E-01 -4.986657E-01  6.802980E-01 -7.368401E-01
   140  0.070222 11.448257 -2.218184E-01 -5.481742E-01  6.504096E-01 -6.744493E-01
   141  0.074751 11.523008 -1.748966E-01 -5.963889E-01  6.027330E-01 -6.172800E-01
   142  0.079067 11.602075 -1.296443E-01 -6.431741E-01  5.403312E-01 -5.680328E-01
   143  0.083159 11.685234 -8.772372E-02 -6.886525E-01  4.669336E-01 -5.274756E-01
   144  0.087548 11.772782 -5.038596E-02 -7.333311E-01  3.856581E-01 -4.946262E-01
   145  0.092507 11.865289 -1.872819E-02 -7.777885E-01  2.988452E-01 -4.675737E-01
   146  0.098100 11.963389  6.126902E-03 -8.224699E-01  2.083078E-01 -4.439681E-01
   147  0.104223 12.067612  2.297174E-02 -8.675503E-01  1.156578E-01 -4.212700E-01
   148  0.110654 12.178266  3.056522E-02 -9.128319E-01  2.258013E-02 -3.969175E-01
   149  0.117052 12.295318  2.777719E-02 -9.576650E-01 -6.896503E-02 -3.685171E-01
   150  0.123899 12.419217  1.366643E-02 -1.001229E+00 -1.572775E-01 -3.338179E-01
   151  0.132679 12.551896 -1.289532E-02 -1.042714E+00 -2.412119E-01 -2.904074E-01
   152  0.140683 12.692579 -5.234251E-02 -1.079909E+00 -3.172964E-01 -2.371569E-01
   153  0.148387 12.840966 -1.044413E-01 -1.110474E+00 -3.822061E-01 -1.736572E-01
   154  0.155300 12.996266 -1.679340E-01 -1.131854E+00 -4.323806E-01 -1.007676E-01
   155  0.161634 13.157899 -2.407039E-01 -1.141691E+00 -4.646101E-01 -2.043346E-02
   156  0.167450 13.325349 -3.197800E-01 -1.138015E+00 -4.761600E-01  6.428761E-02
   157  0.172718 13.498067 -4.013906E-01 -1.119506E+00 -4.650027E-01  1.492978E-01
   158  0.177418 13.675486 -4.811333E-01 -1.085749E+00 -4.300702E-01  2.296866E-01
   159  0.180251 13.855737 -5.537398E-01 -1.037835E+00 -3.719177E-01  2.996162E-01
   160  0.179845 14.035581 -6.138602E-01 -9.788474E-01 -2.934928E-01  3.533745E-01
   161  0.176006 14.211588 -6.574902E-01 -9.133916E-01 -1.997131E-01  3.870506E-01
   162  0.169688 14.381275 -6.827443E-01 -8.463754E-01 -9.596534E-02  3.993841E-01
